query	Q0	passage_id	rank	score	tag
crazy rails train wounds mental	Q0	10294	1	19.5	SheaD
crazy rails train wounds mental	Q0	11571	2	19.2	SheaD
crazy rails train wounds mental	Q0	11488	3	19.2	SheaD
crazy rails train wounds mental	Q0	9216	4	19.2	SheaD
crazy rails train wounds mental	Q0	10750	5	18.8	SheaD
crazy rails train wounds mental	Q0	10569	6	18.4	SheaD
crazy rails train wounds mental	Q0	9437	7	18.2	SheaD
crazy rails train wounds mental	Q0	10367	8	18.0	SheaD
crazy rails train wounds mental	Q0	9918	9	18.0	SheaD
crazy rails train wounds mental	Q0	11761	10	17.9	SheaD
swaying symphony pied piper led	Q0	6477	1	25.5	SheaD
swaying symphony pied piper led	Q0	5363	2	17.6	SheaD
swaying symphony pied piper led	Q0	8440	3	15.4	SheaD
swaying symphony pied piper led	Q0	4593	4	15.4	SheaD
swaying symphony pied piper led	Q0	6402	5	15.0	SheaD
swaying symphony pied piper led	Q0	5245	6	15.0	SheaD
swaying symphony pied piper led	Q0	325	7	14.8	SheaD
swaying symphony pied piper led	Q0	1770	8	14.8	SheaD
swaying symphony pied piper led	Q0	12746	9	14.7	SheaD
swaying symphony pied piper led	Q0	1572	10	14.7	SheaD
startin burn doses starting attraction	Q0	6863	1	17.5	SheaD
startin burn doses starting attraction	Q0	5932	2	17.2	SheaD
startin burn doses starting attraction	Q0	5259	3	17.0	SheaD
startin burn doses starting attraction	Q0	1233	4	16.6	SheaD
startin burn doses starting attraction	Q0	6609	5	16.5	SheaD
startin burn doses starting attraction	Q0	5468	6	16.3	SheaD
startin burn doses starting attraction	Q0	6666	7	16.3	SheaD
startin burn doses starting attraction	Q0	325	8	16.3	SheaD
startin burn doses starting attraction	Q0	4964	9	16.2	SheaD
startin burn doses starting attraction	Q0	6590	10	16.2	SheaD
fighting lose inside grace watch	Q0	13274	1	17.6	SheaD
fighting lose inside grace watch	Q0	5387	2	17.2	SheaD
fighting lose inside grace watch	Q0	9199	3	17.2	SheaD
fighting lose inside grace watch	Q0	10930	4	17.2	SheaD
fighting lose inside grace watch	Q0	7301	5	16.9	SheaD
fighting lose inside grace watch	Q0	9893	6	16.8	SheaD
fighting lose inside grace watch	Q0	5277	7	16.5	SheaD
fighting lose inside grace watch	Q0	10880	8	16.4	SheaD
fighting lose inside grace watch	Q0	6311	9	16.4	SheaD
fighting lose inside grace watch	Q0	9768	10	16.3	SheaD
ace spades man lose eyes	Q0	12416	1	26.3	SheaD
ace spades man lose eyes	Q0	1225	2	21.5	SheaD
ace spades man lose eyes	Q0	937	3	19.4	SheaD
ace spades man lose eyes	Q0	4501	4	19.2	SheaD
ace spades man lose eyes	Q0	294	5	18.9	SheaD
ace spades man lose eyes	Q0	11303	6	18.9	SheaD
ace spades man lose eyes	Q0	195	7	18.8	SheaD
ace spades man lose eyes	Q0	2487	8	18.6	SheaD
ace spades man lose eyes	Q0	10676	9	18.6	SheaD
ace spades man lose eyes	Q0	13688	10	18.5	SheaD
night baby tellin remember talk	Q0	3527	1	19.8	SheaD
night baby tellin remember talk	Q0	6973	2	19.8	SheaD
night baby tellin remember talk	Q0	10248	3	19.5	SheaD
night baby tellin remember talk	Q0	3272	4	19.2	SheaD
night baby tellin remember talk	Q0	1317	5	19.0	SheaD
night baby tellin remember talk	Q0	12163	6	19.0	SheaD
night baby tellin remember talk	Q0	13012	7	19.0	SheaD
night baby tellin remember talk	Q0	3930	8	18.9	SheaD
night baby tellin remember talk	Q0	8862	9	18.8	SheaD
night baby tellin remember talk	Q0	7379	10	18.8	SheaD
baby day sun end thing	Q0	4286	1	15.7	SheaD
baby day sun end thing	Q0	11019	2	14.9	SheaD
baby day sun end thing	Q0	3286	3	14.4	SheaD
baby day sun end thing	Q0	11967	4	14.3	SheaD
baby day sun end thing	Q0	10112	5	14.2	SheaD
baby day sun end thing	Q0	9461	6	14.2	SheaD
baby day sun end thing	Q0	842	7	14.1	SheaD
baby day sun end thing	Q0	12975	8	14.0	SheaD
